person_id,first_name,last_name,team,description,all_nba_team_number,season,month,week,conference,type,subtype1,subtype2,subtype3
764,David,Robinson,San Antonio Spurs,IBM Award,,1994-95,,,,Award,IBM,IBMAW,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1989-90,,1990-04-22T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,IBM Award,,1989-90,,,,Award,IBM,IBMAW,
764,David,Robinson,San Antonio Spurs,NBA Sporting News Rookie of the Year,,1989-90,,,,Award,Sporting News,SNROY,
764,David,Robinson,San Antonio Spurs,IBM Award,,1995-96,,,,Award,IBM,IBMAW,
764,David,Robinson,San Antonio Spurs,All-NBA,1,1990-91,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1993-94,,1994-03-06T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,All-NBA,3,1992-93,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,USA,Olympic Bronze Medal,,1988,,,,Award,Olympic,Bronze,
764,David,Robinson,San Antonio Spurs,All-NBA,2,1997-98,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,2,1989-90,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-NBA,1,1994-95,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,1,1991-92,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,NBA Rookie of the Month,,1989-90,01/01/1990,,,Award,Kia Motors,KIRMO,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1994-95,,1995-04-02T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,All-Rookie Team,1,1989-90,,,1610612759,Award,Kia Motors,KIART,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,2,1992-93,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,NBA Rookie of the Month,,1989-90,02/01/1990,,,Award,Kia Motors,KIRMO,
